fecha,prod_id,precio_promedio,modelo_actual,ventas,nuevo_modelo,perdida_nueva_inventario,perdida_antigua_inventario
2017-01-01,338,6600.399963199407,1264.442391788572,2632.0,1794.2751147519843,0,0
2018-03-01,158,8589.461183310566,1915.535541018633,141.0,1020.8880470338282,879.8880470338282,1774.535541018633
2021-02-01,402,2329.9598558218254,1387.2724221284768,1140.0,1785.2977889474018,645.2977889474018,247.27242212847682
,895,3178.4113375224124,1166.6245646359662,1876.0,1555.0439589046796,0,0
2021-10-01,207,5290.871055996833,1344.4708885889515,1324.0,1137.0504206866249,0,20.47088858895154
,984,2855.362896777532,206.14467196043748,150.0,185.53430937228575,35.53430937228575,56.14467196043748
2021-08-01,84,3222.234296461305,511.6175627026232,684.0,505.2899665574429,0,0
2018-09-01,496,6445.422028385505,1410.0756029704005,2696.0,1638.8256310831664,0,0
2020-07-01,226,5342.408725613568,367.03340062665103,266.0,235.04531674918064,0,101.03340062665103
,964,9334.39543225124,1274.4575444568786,983.0,1097.1098659031925,114.10986590319249,291.4575444568786
,865,6812.467433958,1105.4804007164175,1651.0,1686.1551382365515,35.155138236551466,0
2017-11-01,107,1058.160059049642,962.3047981033176,1049.0,1084.9960052150384,35.996005215038394,0
2020-08-01,623,4305.505538763822,1210.6817923471945,1403.0,1127.4397561074752,0,0
2023-05-01,470,3871.060865722504,912.7041739549866,940.0,897.8393708321639,0,0
2018-04-01,147,7134.413574763005,966.419015775847,746.0,762.5662509817065,16.566250981706503,220.41901577584701
,759,6902.480725324776,1232.9732776213125,1013.0,821.0043191810757,0,219.9732776213125
2017-11-01,243,4831.487545742853,365.7072421764317,1.0,2630.0510782632396,2629.0510782632396,364.7072421764317
,802,1349.6254491609347,639.6363592897378,549.0,581.4916794339632,32.49167943396321,90.63635928973781
2017-11-01,14,4736.529327508705,1081.0659716372877,1872.0,1897.8712428776512,25.871242877651184,0
2015-03-01,372,6475.949687373903,1081.427322561454,1784.0,1363.7655959889069,0,0
,790,12661.35968489166,1336.6868159063838,799.0,792.9061941824114,0,537.6868159063838
,670,8363.17436118979,895.0537051553594,1153.0,967.6574309809024,0,0
,913,6949.026071506964,1194.531466811222,1189.0,974.95590638306,0,5.53146681122189
,808,1631.404532434494,574.2801016386915,525.0,748.8137518768152,223.81375187681522,49.28010163869146
,886,5100.710873839404,775.1058366460773,182.0,1240.0132100377232,1058.0132100377232,593.1058366460773
,939,4022.7730970590446,918.1528111137096,882.0,1010.7445736443283,128.74457364432828,36.15281111370962
2019-07-01,284,4996.492759532146,1172.4731347741233,516.0,890.1689345624034,374.16893456240336,656.4731347741233
2018-09-01,182,7531.065973266584,815.3135351934433,1345.0,994.8407333051916,0,0
2019-04-01,562,3734.300561378072,1397.0048021149207,1614.0,2000.7737142502183,386.7737142502183,0
,824,7827.621561917157,1653.6525250940635,829.0,941.4191103202534,112.41911032025337,824.6525250940635
2018-08-01,302,8644.399727300715,246.1826303588645,339.0,259.21272014695853,0,0
2018-08-01,603,6036.620301659588,843.4309888610193,1165.0,1143.8060342820104,0,0
2022-03-01,529,6194.455754614963,1380.1333418172856,1891.0,1164.133193046697,0,0
2023-06-01,386,6996.800544470229,663.678697859949,552.0,628.8412925801917,76.84129258019175,111.67869785994901
,791,2603.323626905889,527.1231553099459,516.0,450.17944017365824,0,11.1231553099459
2016-09-01,173,8006.497860626625,219.68878476120884,306.0,293.11142408094565,0,0
2015-05-01,36,2160.7410566438325,433.5742316193708,369.0,509.0196282298954,140.01962822989537,64.57423161937078
2022-05-01,215,5923.008277104975,1657.617177843866,1828.0,1421.10788757831,0,0
2017-04-01,73,6618.865171176988,416.2768555809991,379.0,417.4468838245883,38.446883824588326,37.2768555809991
,824,8846.545731317678,1394.8610828732396,1159.0,1050.8560293669295,0,235.86108287323964
2017-08-01,174,8056.02448988357,703.688383618511,577.0,533.0161306885041,0,126.68838361851101
,950,1032.9100813809314,554.7191305791862,672.0,1032.7204238221743,360.7204238221743,0
2018-09-01,401,1936.1407524957003,927.3402243367276,1469.0,1067.1318305736693,0,0
,940,6879.019359709397,346.2688696955576,229.0,342.5822194721534,113.58221947215338,117.26886969555761
2013-10-01,493,7186.950745413578,1003.3014333939644,464.0,801.018962294727,337.018962294727,539.3014333939644
2015-02-01,263,5916.115236158714,299.19352045446925,361.0,323.6021622279749,0,0
2017-03-01,380,6119.54212179105,1438.1729296194003,1311.0,1717.4501160973177,406.45011609731773,127.17292961940029
2013-07-01,72,4279.132719777706,1597.2417503209865,2087.0,1678.5751789345863,0,0
2019-05-01,472,3367.7524985327946,1006.6718951807436,1199.0,1485.9899264839912,286.9899264839912,0
2020-02-01,107,881.3966529264306,1746.991289853352,1915.0,1801.161417300853,0,0
2023-02-01,564,2000.0435341624911,1420.9845590015236,1400.0,1717.7517059899687,317.75170598996874,20.98455900152362
2023-05-01,547,2999.678499062361,1322.846040528244,763.0,892.7123426570946,129.7123426570946,559.846040528244
2022-01-01,13,7276.247940185667,1170.0168023282713,1176.0,1947.1811903261118,771.1811903261118,0
2021-09-01,605,1820.124585040731,1147.8607413346683,1171.0,1106.3887816004258,0,0
,643,6861.268643390165,769.8457985872622,699.0,561.5465345333021,0,70.84579858726215
,741,6298.674577804485,371.7374125622378,524.0,723.2288759835769,199.22887598357693,0
,918,6170.187240972347,718.0810201951767,518.0,518.5297628448282,0.5297628448281557,200.08102019517673
2021-05-01,282,6621.566744688791,450.8793147768287,704.0,710.2906695888435,6.290669588843457,0
,880,4880.191409921061,1099.8890656742144,1128.0,1557.476784038733,429.47678403873306,0
,858,5142.412684297568,1671.902943833082,1056.0,1193.3874126338574,137.38741263385737,615.902943833082
,840,846.8686281183857,952.6663185550688,1110.0,1205.3605313721075,95.36053137210752,0
2016-08-01,568,7281.79160647873,732.7196208806484,660.0,658.1055651637752,0,72.71962088064845
2019-06-01,424,3905.973562665948,594.2177434542828,523.0,532.8351767529134,9.835176752913412,71.21774345428275
2016-06-01,410,4503.240253126489,735.4217148863434,23.0,865.6195173006008,842.6195173006008,712.4217148863434
2021-04-01,363,2759.38534144175,906.9071364934128,886.0,1103.9459034699516,217.94590346995165,20.90713649341285
,940,5608.366594180805,490.3961930408369,453.0,348.10131450766994,0,37.39619304083692
2016-12-01,616,5032.882250275369,601.2152110751235,58.0,1764.427768375944,1706.427768375944,543.2152110751235
2023-05-01,64,4939.319796093824,1259.7225656350877,914.0,1484.381447056519,570.3814470565189,345.7225656350877
2015-07-01,439,1838.3727070710904,837.7424182634784,614.0,590.0668853816774,0,223.74241826347838
2017-04-01,505,5617.495945218263,366.0745402375929,305.0,333.6048936675704,28.604893667570423,61.074540237592885
2016-01-01,123,7357.756605356404,1053.4940328273826,2008.0,2233.168832530763,225.1688325307632,0
2016-10-01,447,1385.503351321705,923.3924454264476,1118.0,805.6433406487112,0,0
2021-04-01,108,3077.566629344489,1991.9259668470572,974.0,800.7475313913411,0,1017.9259668470572
,905,8984.952693527677,742.9572214336727,979.0,1241.0185096798937,262.01850967989367,0
2023-08-01,432,936.9256153945234,1237.4975927085206,1145.0,1085.2272241327375,0,92.49759270852064
2022-11-01,217,6001.236702218899,1532.1719773494542,1921.0,1998.964174894311,77.9641748943111,0
2019-06-01,244,2031.4516601883868,1946.865285147188,1142.0,878.4471407346956,0,804.8652851471879
2017-01-01,42,4359.443355197092,1562.0584629862976,1985.0,2283.0618537716837,298.0618537716837,0
