fecha,prod_id,prediccion_precio_promedio,prediccion_demanda
2024-01-01,0,4858.867038496485,2556.5536214241583
2024-02-01,0,5272.468437345587,2065.2636862954537
2024-01-01,1,2330.2206441497233,1579.9050190555558
2024-02-01,1,2295.6884333951884,1365.514817366283
2024-01-01,2,8111.768017034314,1618.015928490238
2024-02-01,2,8070.725247731454,1626.6313464236387
2024-01-01,3,8328.746754403059,1760.9795906032991
2024-02-01,3,8335.753397092749,1790.1031212369778
2024-01-01,4,1658.568797632949,1711.9511270546452
2024-02-01,4,1764.6923521384301,1419.6803620864275
2024-01-01,5,7745.739717471907,1828.3648256179854
2024-02-01,5,7318.320727094654,1674.8053052764471
2024-01-01,6,7758.710802634627,1772.8923913630192
2024-02-01,6,7327.4621668885375,1696.2382936475215
2024-01-01,7,6546.067657529352,1661.0729121643983
2024-02-01,7,6241.047429197503,2223.9904467977467
2024-01-01,8,5237.007332808639,1799.6836268268612
2024-02-01,8,5150.295186743247,2425.532919060081
2024-01-01,9,6607.852057420048,1765.0309481612453
2024-02-01,9,6369.9354210866295,2092.5877305696463
2024-01-01,10,6618.047292598092,1842.1776427014065
2024-02-01,10,6380.130656264673,2261.9505612861035
2024-01-01,11,6680.842617780455,1925.5169830373372
2024-02-01,11,6397.035621718834,2606.1450527724264
2024-01-01,12,3983.472400521966,1692.8403808569847
2024-02-01,12,4080.228279166733,1459.138373041618
2024-01-01,13,7567.695058375733,1713.1273276359848
2024-02-01,13,7951.804413875596,1330.1182169654617
2024-01-01,14,6889.150033661159,1875.9255516890692
2024-02-01,14,7687.840227944527,1172.2158021697476
2024-01-01,15,3749.920150257638,1527.5992786734264
2024-02-01,15,4273.196918530264,1345.288188565814
2024-01-01,16,6078.399848972167,1610.9386190093578
2024-02-01,16,6806.14973572909,1342.835257438918
2024-01-01,17,1992.064759798126,1357.784063117993
2024-02-01,17,1959.6321696745254,1582.6494870786805
2024-01-01,18,3401.8104534907125,1531.499841285048
2024-02-01,18,3244.341827075754,1486.0804034517867
2024-01-01,19,3445.3552269053025,1583.403461810309
2024-02-01,19,3408.866106660558,1431.78416977816
2024-01-01,20,3917.5897980240306,1663.6464792483544
2024-02-01,20,3745.5302092985194,1416.8052051098202
2024-01-01,21,1365.9582628598591,1425.8126899036677
2024-02-01,21,1349.181102166886,1544.9608034937103
2024-01-01,22,1371.7972601188917,1472.1268444184607
2024-02-01,22,1346.2140598379983,1542.7390912845135
2024-01-01,23,6557.980142668546,1597.3067558615262
2024-02-01,23,5959.114002727209,1871.1905903744469
2024-01-01,24,6122.004974591913,1571.4303430720588
2024-02-01,24,5714.496284525444,1913.4634403277146
2024-01-01,25,7181.661642735245,1919.8269870626539
2024-02-01,25,7179.920396848725,1663.0231934702092
2024-01-01,26,3534.990995694874,2291.6772717050835
2024-02-01,26,3559.241269387359,2033.2247866994817
2024-01-01,27,5926.202438761729,1749.438750711182
2024-02-01,27,5933.473960702415,1731.624841051922
2024-01-01,28,5428.771821788385,1791.9327665857272
2024-02-01,28,5435.375768822757,1856.0809367526244
2024-01-01,29,3955.3036211979897,2376.4340845364745
2024-02-01,29,3986.4390572108596,2231.6608830675086
2024-01-01,30,1689.7564586733615,1663.7570622089936
2024-02-01,30,1646.0506723888648,1590.289764359176
2024-01-01,31,6444.672653470771,1817.8896033465683
2024-02-01,31,5968.066363401445,2049.55085288833
2024-01-01,32,6645.353426307578,2010.7161277112841
2024-02-01,32,6418.399260295968,2127.6123701028655
2024-01-01,33,8989.599893743165,1334.5113764017465
2024-02-01,33,8498.29617243553,1468.9601505456235
2024-01-01,34,9523.408751358205,1241.4809475152922
2024-02-01,34,9479.236781175554,1307.7905119128557
2024-01-01,35,2235.6640528390826,1599.196719188807
2024-02-01,35,2097.1705579655104,1792.0936145284743
2024-01-01,36,2549.3299347589614,2164.4364959955683
2024-02-01,36,2519.499249647066,1755.500707553469
2024-01-01,37,5411.06918711953,1789.7814253514825
2024-02-01,37,5513.521828082278,1510.840933638445
2024-01-01,38,2749.3703226992984,1915.0317077695
2024-02-01,38,2672.0861471694166,1461.74209911484
2024-01-01,39,2306.011908565092,1879.4239944438218
2024-02-01,39,2224.3410035493253,2152.121575378981
2024-01-01,40,8242.795965594603,1583.594468742321
2024-02-01,40,8211.072076323593,1604.8967681599133
2024-01-01,41,8034.917106872656,1571.85256892177
2024-02-01,41,8090.026321010268,1420.715820717863
2024-01-01,42,3905.6051845482857,1784.1316413624838
2024-02-01,42,3625.853205373498,1875.262053925237
2024-01-01,43,4841.6278899906265,1881.2737457854155
2024-02-01,43,4720.545989877946,1826.5351802692344
2024-01-01,44,4875.793611772606,1915.735417519019
2024-02-01,44,4757.983585202064,1806.5498233828857
2024-01-01,45,5206.823396514747,1664.1089170837533
2024-02-01,45,4821.509981270773,1736.1687954345318
2024-01-01,46,5248.951338119375,1591.4458589476726
2024-02-01,46,4869.5719662526135,1813.3657549568018
2024-01-01,47,2415.304458608225,1887.9589884058491
2024-02-01,47,2474.1505641298195,1915.1322377337162
2024-01-01,48,8836.113436446294,1336.8738305608472
2024-02-01,48,8980.981332004902,1314.676814461723
2024-01-01,49,1430.6317045599003,1563.4884758989122
2024-02-01,49,1489.06026178998,2079.780213128395
2024-01-01,50,4528.592424406479,1735.2539727601566
2024-02-01,50,4676.880928278091,1942.7176599148747
2024-01-01,51,3541.5345012232615,2017.5923772637304
2024-02-01,51,3724.383646822718,1776.6421590283148
2024-01-01,52,8358.547745722546,1566.212837929194
2024-02-01,52,8531.164949954364,1386.3345729556336
2024-01-01,53,6415.993058360031,1762.0251022311559
2024-02-01,53,6290.273207203155,1997.3858544561035
2024-01-01,54,7771.719371128385,1413.9903661117428
2024-02-01,54,7149.566409895271,1763.8949595655931
2024-01-01,55,7787.328592536542,1420.112640932561
2024-02-01,55,7082.727668899805,1686.8890069753356
2024-01-01,56,10133.180223336536,1227.366540539219
2024-02-01,56,10748.061598737939,1190.5524676429366
2024-01-01,57,10065.103197583801,1163.9321331182628
2024-02-01,57,10927.786966399311,1228.482423142028
2024-01-01,58,1654.1178117090403,1815.8086330872757
2024-02-01,58,1714.6337215708818,2033.8681784704702
2024-01-01,59,1589.2183819986212,1842.800928479552
2024-02-01,59,1671.0476790532894,1924.2100935025164
2024-01-01,60,10563.742197807225,1191.085276453287
2024-02-01,60,10356.26714667205,903.6701087567526
2024-01-01,61,2496.753524610461,1814.7329624701536
2024-02-01,61,2471.067731066478,1477.5152505004944
2024-01-01,62,9696.367154839823,1085.5288140253888
2024-02-01,62,9722.516844633235,1066.1164779350772
2024-01-01,63,3509.562697075091,2019.3013866554202
2024-02-01,63,3519.380620233257,1621.4741592593045
2024-01-01,64,5098.083953046077,1611.1296259413703
2024-02-01,64,5430.957284425919,1625.807000717059
2024-01-01,65,4743.027290056421,1529.9918918217927
2024-02-01,65,4746.692562362957,1707.688656571843
2024-01-01,66,7047.499817357431,1899.6707292371352
2024-02-01,66,6566.725456482799,1990.9619897426348
2024-01-01,67,4729.38713984857,1503.562564229131
2024-02-01,67,4579.491115217874,1554.6619450406556
2024-01-01,68,5497.942892306875,1411.4972229991602
2024-02-01,68,5624.133514130491,1519.0743377078215
2024-01-01,69,5530.894788581187,1478.5607621283516
2024-02-01,69,5657.365225640069,1441.8271132034433
2024-01-01,70,5785.8804487160505,1563.8202247808285
2024-02-01,70,5788.65115683031,1515.3245700425257
2024-01-01,71,7076.918430044543,2150.312036023075
2024-02-01,71,8615.163183951743,1445.6673578365344
2024-01-01,72,5837.308231152396,1590.611460244671
2024-02-01,72,5858.474018828009,1617.8651335439122
2024-01-01,73,8551.633742384203,1565.0869023299633
2024-02-01,73,8508.55756395382,1426.2349157533793
2024-01-01,74,1965.5788925987495,1337.9193421887046
2024-02-01,74,1963.1453500624862,1463.0087766639745
2024-01-01,75,4125.718530666269,1901.299314657451
2024-02-01,75,3848.6777149284585,1513.5250836830398
2024-01-01,76,5228.635824391872,1427.7328122202132
2024-02-01,76,5178.647220048675,1811.2646787046651
2024-01-01,77,5726.3481030528865,1612.1751375692274
2024-02-01,77,5738.583339145008,1760.3462518287315
2024-01-01,78,10177.754714475755,1492.866176036437
2024-02-01,78,9873.614033290083,1085.8706159037267
2024-01-01,79,7504.937402834994,1819.3774468169809
2024-02-01,79,7439.068674090069,1867.290027762825
